################################### GEN CYTB ####################################

* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
------------------------------------------------------------------------- 
GTR+G       15022.64331   52  30154.357457   0.000000    0.877753   0.877753 = Mejor modelo
GTR+I+G     15023.55729   53  30158.385298   4.027841    0.117149   0.994901 
TIM2+G      15030.43457   50  30165.552336  11.194878    0.003254   0.998156 
TIM2+I+G    15029.90656   51  30166.688120  12.330663    0.001844   1.000000 
TPM2uf+G    15041.36500   49  30185.225413  30.867956   1.74e-007   1.000000 
TPM2uf+I+G  15040.81798   50  30186.319156  31.961698   1.01e-007   1.000000 
TPM1uf+G    15069.71553   49  30241.926473  87.569016   8.47e-020   1.000000 
TPM1uf+I+G  15069.21926   50  30243.121716  88.764258   4.66e-020   1.000000 
TIM1+G      15069.46364   50  30243.610476  89.253018   3.65e-020   1.000000 
TIM1+I+G    15068.93924   51  30244.753480  90.396023   2.06e-020   1.000000 
TPM3uf+G    15078.10019   49  30258.695793  104.338336   1.93e-023   1.000000 
TPM3uf+I+G  15077.59097   50  30259.865136  105.507678   1.08e-023   1.000000 
HKY+G       15080.01797   48  30260.347581  105.990124   8.47e-024   1.000000 
TIM3+G      15078.02473   50  30260.732656  106.375198   6.99e-024   1.000000 
TrN+G       15079.63511   49  30261.765633  107.408176   4.17e-024   1.000000 
TIM3+I+G    15077.51253   51  30261.900060  107.542603   3.90e-024   1.000000 
HKY+I+G     15081.06283   49  30264.621073  110.263616   10.00e-025   1.000000 
TrN+I+G     15080.69455   50  30266.072296  111.714838   4.84e-025   1.000000 
TVM+G       15100.04602   51  30306.967040  152.609583   6.38e-034   1.000000 
TVM+I+G     15099.63274   52  30308.336317  153.978860   3.22e-034   1.000000 
SYM+G       15110.50809   49  30323.511593  169.154136   1.63e-037   1.000000 
SYM+I+G     15123.06988   50  30350.822956  196.465498   1.91e-043   1.000000 
TIM2ef+G    15146.27622   47  30390.684308  236.326851   4.22e-052   1.000000 
TIM2ef+I+G  15145.81218   48  30391.936001  237.578544   2.26e-052   1.000000 
TPM2+G      15307.68886   46  30711.333804  556.976347   9.94e-122   1.000000 
TPM2+I+G    15307.20667   47  30712.545208  558.187751   5.43e-122   1.000000 
TVMef+G     15314.42201   48  30729.155661  574.798204   1.34e-125   1.000000 
TVMef+I+G   15313.94625   49  30730.387913  576.030456   7.24e-126   1.000000 
TIM1ef+G    15367.39560   47  30832.923068  678.565611   3.93e-148   1.000000 
TIM1ef+I+G  15366.90679   48  30834.125221  679.767764   2.16e-148   1.000000 
TIM3ef+G    15421.85765   47  30941.847168  787.489711   8.75e-172   1.000000 
TIM3ef+I+G  15421.34004   48  30942.991721  788.634264   4.94e-172   1.000000 
TrNef+G     15425.65021   46  30947.256504  792.899047   5.86e-173   1.000000 
TrNef+I+G   15426.67420   47  30951.480268  797.122811   7.09e-174   1.000000 
F81+G       15448.69603   47  30995.523928  841.166471   1.93e-183   1.000000 
F81+I+G     15448.24715   48  30996.805941  842.448484   1.02e-183   1.000000 
TPM1+G      15609.64787   46  31315.251824  1160.894367   0.00e+000   1.000000 
TPM1+I+G    15609.13907   47  31316.410008  1162.052551   0.00e+000   1.000000 
TPM3+G      15666.54103   46  31429.038144  1274.680687   0.00e+000   1.000000 
TPM3+I+G    15666.04464   47  31430.221148  1275.863691   0.00e+000   1.000000 
K80+G       15670.60345   45  31434.991178  1280.633721   0.00e+000   1.000000 
K80+I+G     15671.37649   46  31438.709064  1284.351607   0.00e+000   1.000000 
JC+G        15971.35139   44  32034.319218  1879.961761   0.00e+000   1.000000 
JC+I+G      15970.88411   45  32035.552498  1881.195041   0.00e+000   1.000000 
GTR+I       16147.84033   52  32404.751497  2250.394040   0.00e+000   1.000000 
TVM+I       16179.92140   51  32466.717800  2312.360343   0.00e+000   1.000000 
TIM2+I      16258.03886   50  32620.760916  2466.403458   0.00e+000   1.000000 
TPM2uf+I    16386.91210   49  32876.319613  2721.962156   0.00e+000   1.000000 
TIM3+I      16403.02018   50  32910.723556  2756.366098   0.00e+000   1.000000 
TPM3uf+I    16421.56911   49  32945.633633  2791.276176   0.00e+000   1.000000 
GTR         16446.33727   51  32999.549540  2845.192083   0.00e+000   1.000000 
TIM1+I      16460.18687   50  33025.056936  2870.699478   0.00e+000   1.000000 
TVM         16462.88201   50  33030.447216  2876.089758   0.00e+000   1.000000 
TVMef+I     16473.97244   48  33048.256521  2893.899064   0.00e+000   1.000000 
TPM1uf+I    16481.01371   49  33064.522833  2910.165376   0.00e+000   1.000000 
TrN+I       16518.26786   49  33139.031133  2984.673676   0.00e+000   1.000000 
TIM2ef+I    16525.98493   47  33150.101728  2995.744271   0.00e+000   1.000000 
HKY+I       16539.16776   48  33178.647161  3024.289704   0.00e+000   1.000000 
TIM2        16551.77523   49  33206.045873  3051.688416   0.00e+000   1.000000 
SYM+I       16562.62363   49  33227.742673  3073.385216   0.00e+000   1.000000 
